epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,15389.2,0.5543,0.64228,0.9787,0.99031,0.99123,0.99491,0.99262,0.03865,0.17402,0.03338,0.00046387,0.00046387,0.00046387
163,15478.9,0.60184,0.69931,1.02559,0.9979,0.98246,0.99458,0.99223,0.03521,0.13371,0.02996,0.00046054,0.00046054,0.00046054
164,15568.4,0.60187,0.71619,1.04483,0.99954,0.99123,0.995,0.98866,0.0368,0.16866,0.03137,0.00045721,0.00045721,0.00045721
165,15658.5,0.55983,0.60046,0.99828,0.99568,0.98246,0.99474,0.99241,0.03765,0.2042,0.03055,0.00045388,0.00045388,0.00045388
166,15748.3,0.57651,0.65714,1.00099,0.99869,0.99123,0.995,0.97081,0.05304,0.21146,0.03947,0.00045055,0.00045055,0.00045055
167,15841.5,0.65444,0.77193,1.048,0.99048,0.98246,0.99483,0.98934,0.0485,0.25675,0.03705,0.00044722,0.00044722,0.00044722
168,15936.3,0.58571,0.71438,0.99014,0.99116,0.97368,0.99457,0.98572,0.04483,0.48726,0.03387,0.00044389,0.00044389,0.00044389
169,16027,0.57792,0.66331,0.99422,0.98188,0.99123,0.99474,0.96925,0.04452,0.19148,0.03148,0.00044056,0.00044056,0.00044056
170,16118.3,0.59445,0.70654,1.04941,0.98909,0.98246,0.99474,0.98561,0.04979,0.17164,0.03468,0.00043723,0.00043723,0.00043723
171,16209.7,0.55644,0.72279,0.96296,0.99732,0.99123,0.995,0.99388,0.04583,0.23522,0.03398,0.0004339,0.0004339,0.0004339
172,16301.7,0.55098,0.62738,0.9788,0.99777,0.99123,0.995,0.98611,0.05156,0.22376,0.03634,0.00043057,0.00043057,0.00043057
173,16414.8,0.57187,0.63609,0.9721,0.99118,0.98552,0.99491,0.97411,0.05053,0.15981,0.03517,0.00042724,0.00042724,0.00042724
174,16503.9,0.58374,0.68791,0.98717,0.97836,0.98246,0.99432,0.96578,0.04235,0.19118,0.0321,0.00042391,0.00042391,0.00042391
175,16593.2,0.60442,0.65316,1.03675,0.99118,0.98589,0.99491,0.97427,0.05138,0.18731,0.03664,0.00042058,0.00042058,0.00042058
176,16681.8,0.60671,0.73738,1.00758,0.99107,0.98246,0.99157,0.89988,0.04936,0.26179,0.03492,0.00041725,0.00041725,0.00041725
